City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,ust'-uda,54.1742,103.0304,20.48,98,100,2.28,RU,1710194537
1,papatowai,-46.5619,169.4708,56.21,64,58,3.44,NZ,1710194421
2,nishinoomote,30.7333,131.0,58.62,85,100,27.85,JP,1710194538
3,cockburn town,21.4612,-71.1419,78.67,74,0,8.32,TC,1710194538
4,lebu,-37.6167,-73.65,62.2,72,0,17.34,CL,1710194401
5,udachny,66.4167,112.4,0.52,99,99,3.85,RU,1710194438
6,novodvinsk,64.4165,40.8122,31.78,92,100,4.94,RU,1710194538
7,vorgashor,67.5833,63.95,-13.23,99,100,7.36,RU,1710194432
8,tiksi,71.6872,128.8694,-6.14,99,100,2.98,RU,1710194421
9,nova vicosa,-17.8919,-39.3719,79.68,89,94,6.15,BR,1710194538
10,waitangi,-43.9535,-176.5597,55.81,76,92,4.0,NZ,1710194415
11,santa cruz,-17.8,-63.1667,87.64,58,100,9.48,BO,1710194539
12,port lincoln,-34.7333,135.8667,72.41,68,100,6.26,AU,1710194449
13,armacao de buzios,-22.7469,-41.8817,75.9,89,3,9.48,BR,1710194539
14,adamstown,-25.066,-130.1015,73.42,84,100,3.15,PN,1710194396
15,port-aux-francais,-49.35,70.2167,42.73,64,3,25.05,TF,1710194395
16,phang nga,8.4509,98.5298,75.24,83,57,1.14,TH,1710194539
17,sodra sandby,56.5667,16.6167,35.89,94,100,17.31,SE,1710194540
18,darwin,-12.4611,130.8418,76.98,92,75,9.22,AU,1710194540
19,grytviken,-54.2811,-36.5092,43.25,78,59,9.93,GS,1710194211
20,ilulissat,69.2167,-51.1,-6.57,100,45,1.95,GL,1710194398
21,puerto natales,-51.7236,-72.4875,50.41,85,63,1.52,CL,1710194411
22,badger,64.8,-147.5333,4.71,63,100,1.99,US,1710194433
23,ribeira grande,38.5167,-28.7,60.78,89,27,11.01,PT,1710194445
24,yellowknife,62.456,-114.3525,16.32,67,75,6.91,CA,1710194398
25,usol'ye-sibirskoye,52.7519,103.6453,9.43,99,85,2.66,RU,1710194540
26,pacific grove,36.6177,-121.9166,63.01,74,77,8.01,US,1710194447
